TargetPath,Url,TotalBytes,StartTime,EndTime,MimeType
C:\Users\ruochen\Downloads\virboxprotector_trial_windows.exe,https://shell.virbox.com/down.html,145928024,2022-03-16T09:39:41.829543+08:00,2022-03-16T09:41:12.726762+08:00,application/octet-stream
C:\Users\ruochen\Downloads\360se+5000577+n761579be99.exe,http://v.4399pk.com/download360.htm,71174832,2021-08-30T07:49:54.168765+08:00,2021-08-30T07:51:08.269108+08:00,application/octet-stream
C:\Users\ruochen\Downloads\utweb_installer.exe,https://www.utorrent.com/web/downloads/complete/track/stable/os/win/,21406304,2022-03-27T05:11:59.840072+08:00,2022-03-27T05:12:28.909934+08:00,application/x-msdownload
C:\Users\ruochen\Downloads\Everything-1.4.1.1015.x64-Setup.exe,https://www.voidtools.com/zh-cn/,1806136,2022-03-16T09:34:43.335968+08:00,2022-03-16T09:34:50.125859+08:00,application/x-msdownload
C:\Users\ruochen\Downloads\ChromeSetup.exe,https://www.google.cn/intl/en_uk/chrome/,1342296,2021-08-16T06:56:07.118091+08:00,2021-08-16T06:56:14.971839+08:00,application/octet-stream
C:\Users\ruochen\Downloads\ide-eval-resetter-2.2.4-4959c6.zip,https://gitee.com/pengzhile/ide-eval-resetter#https://plugins.zhile.io/files/ide-eval-resetter-2.2.4-4959c6.zip,39704,2021-10-17T05:48:57.30532+08:00,2021-10-17T05:48:57.830665+08:00,application/zip
